trigger_id,initiating_owner_key,decision_owner_key,trigger_family,trigger_name,admission_event,movement_class,principal_selector_rule,required_or_possible_named_roles,aggregate_profile_candidate,origin_rule,destination_rule,timing_rule,host_or_receiver_rule,completion_disposition,matter_if,downstream_effects,journey_service_is_execution_owner,source_candidate_only,runtime_authority,authority_boundary
JRN-001,courtos.responsibility.household_stores_provisioning_procurement,courtos.responsibility.household_stores_provisioning_procurement,material_support,Supplier collection or delivery,A qualified procurement or replenishment request is accepted by the material gateway.,background_transport,no_named_principal_by_default,named carrier only if an admitted named officeholder actually performs the route,freight_or_local_delivery,actual_admitted_presence_at_departure_cutpoint,admitted supplier and receiving store/custody anchor,qualified delivery window,receiver capacity and custody acceptance; not hospitality,delivered_or_failed,delivery cannot be completed within reserve or timing bounds,stock/custody/delivery evidence; possible fee and supply matter,False,True,False,requirements_and_readiness_only_no_journey_execution_no_person_movement_no_presence_mutation_no_route_promotion_no_lodging_admission_no_hosting_history_no_gl_or_resource_mutation_no_runtime_schema_ui_fixture_or_golden
JRN-002,courtos.responsibility.household_stores_provisioning_procurement,courtos.responsibility.household_stores_provisioning_procurement,material_support,Routine procurement or stores circuit,One accountable manager covers multiple admitted supply locations under an accepted assignment.,derived_service_mobility,assigned owner or supporter,owner; supporter where separately assigned,light_service_circuit,actual_admitted_presence_at_departure_cutpoint,assigned supply/store locations only,derived annual itinerary,no host unless an independently admitted stay is required,coverage_completed_or_undercovered,route load makes assigned coverage infeasible,annual PAS/presence load and coverage evidence,False,True,False,requirements_and_readiness_only_no_journey_execution_no_person_movement_no_presence_mutation_no_route_promotion_no_lodging_admission_no_hosting_history_no_gl_or_resource_mutation_no_runtime_schema_ui_fixture_or_golden
JRN-003,courtos.responsibility.adult_kin_support,courtos.responsibility.adult_kin_support,placement,Adult-kin residence reassignment,The competent House authority accepts a new residence/support arrangement for a named adult kin member.,named_journey,person_whose_residence_changes,subject; guardian/escort if required; relocating spouse/dependants if included by the support instrument,household_transfer,actual_admitted_presence_at_departure_cutpoint,accepted residence with support and receiving accountability,effective month from the support arrangement,receiving House/site acceptance required when outside the current House's direct control,remain,"destination, support, custody, route, or timing cannot be admitted",presence/residence/support change; origin and destination burdens; ART evidence,True,True,False,requirements_and_readiness_only_no_journey_execution_no_person_movement_no_presence_mutation_no_route_promotion_no_lodging_admission_no_hosting_history_no_gl_or_resource_mutation_no_runtime_schema_ui_fixture_or_golden
JRN-004,courtos.responsibility.adult_kin_support,courtos.responsibility.adult_kin_support,placement,External adult support placement or return,"An admitted support/service arrangement begins, ends, or is superseded at another location.",named_journey,supported_adult,subject; sponsor/delegate; escort where required; spouse/dependants only if instrument includes them,household_transfer,actual_admitted_presence_at_departure_cutpoint,"accepted service, maintenance, benefice, or host setting",instrument effective month,receiving authority acceptance required,remain_or_return,"placement fails, support is refused, or subject does not arrive","support arrangement, residence, service, Knowledge, and ART evidence",True,True,False,requirements_and_readiness_only_no_journey_execution_no_person_movement_no_presence_mutation_no_route_promotion_no_lodging_admission_no_hosting_history_no_gl_or_resource_mutation_no_runtime_schema_ui_fixture_or_golden
JRN-005,courtos.responsibility.education_formation,courtos.responsibility.education_formation,education_transfer,Initial off-site education and hosting transfer,A linked Education and Guardianship/Hosting commitment is atomically accepted for an off-site learner.,named_journey,learner,learner; guardian/custodian; escort; responsible party only if chosen; provider only if travelling for collection,education_transfer,actual_admitted_presence_at_departure_cutpoint,accepted provider/host location from the linked commitments,service commencement month,provider and host capacity/acceptance both required,remain,"either linked commitment, route, custody handover, or support leg fails",learner presence/custody; origin absence; host burden; education start; ART evidence,True,True,False,requirements_and_readiness_only_no_journey_execution_no_person_movement_no_presence_mutation_no_route_promotion_no_lodging_admission_no_hosting_history_no_gl_or_resource_mutation_no_runtime_schema_ui_fixture_or_golden
JRN-006,courtos.responsibility.education_formation,courtos.responsibility.education_formation,education_transfer,Provider or host change,An existing education arrangement is superseded by a new accepted provider/host arrangement.,named_journey,learner,learner; current/new custodian; escort; provider only when required by handover,education_transfer,actual_admitted_presence_at_departure_cutpoint,new accepted provider/host location,supersession effective month,old release and new acceptance/custody required,remain,atomic replacement cannot be completed,old/new arrangement closure; presence/custody; education continuity; ART evidence,True,True,False,requirements_and_readiness_only_no_journey_execution_no_person_movement_no_presence_mutation_no_route_promotion_no_lodging_admission_no_hosting_history_no_gl_or_resource_mutation_no_runtime_schema_ui_fixture_or_golden
JRN-007,courtos.responsibility.education_formation,courtos.responsibility.education_formation,education_transfer,Education completion or return,"The arrangement ends, the learner ages out, or the competent party orders a lawful return.",named_journey,learner,learner; escort/custodian where required,education_transfer,actual_admitted_presence_at_departure_cutpoint,accepted return residence or onward placement,completion or termination month,destination support acceptance required,return_or_onward,no lawful or supported destination is available,education closure; residence/custody; Household burden; ART evidence,True,True,False,requirements_and_readiness_only_no_journey_execution_no_person_movement_no_presence_mutation_no_route_promotion_no_lodging_admission_no_hosting_history_no_gl_or_resource_mutation_no_runtime_schema_ui_fixture_or_golden
JRN-008,service.health_engine_service,courtos.responsibility.household_service_care,health_and_safety,Care-setting transfer,The Health Engine exposes a serious/persistent care need and the responsible party selects an admitted external care setting.,named_journey,sick_person,sick person; caregiver; guardian/custodian if applicable; escort,protected_care_transfer,actual_admitted_presence_at_departure_cutpoint,accepted care provider/setting,care commitment effective month,provider acceptance and safe custody/support required,remain_or_return,"care setting, route, or required support is unavailable",presence; care coverage; illness-severity evidence; modest mortality influence; ART evidence,True,True,False,requirements_and_readiness_only_no_journey_execution_no_person_movement_no_presence_mutation_no_route_promotion_no_lodging_admission_no_hosting_history_no_gl_or_resource_mutation_no_runtime_schema_ui_fixture_or_golden
JRN-009,service.health_engine_service,courtos.responsibility.household_service_care,health_and_safety,Emergency evacuation or protected health move,A qualified safety/health event makes current placement untenable and supplies a competent emergency basis.,named_journey,person_at_risk,person at risk; caregiver; guardian/custodian; escort commander where required,protected_care_transfer,actual_admitted_presence_at_departure_cutpoint,pre-admitted safe destination or accepted emergency receiver,immediate qualified cutpoint,destination and safety route may not be invented,remain_return_or_divert,no safe destination/route or the move materially worsens risk,presence; care/security exceptions; origin coverage; Knowledge and ART evidence,True,True,False,requirements_and_readiness_only_no_journey_execution_no_person_movement_no_presence_mutation_no_route_promotion_no_lodging_admission_no_hosting_history_no_gl_or_resource_mutation_no_runtime_schema_ui_fixture_or_golden
JRN-010,courtos.responsibility.marriage_dynasty_stewardship,courtos.responsibility.marriage_dynasty_stewardship,marriage,Purpose-bound introduction or courtship visit,A viable marriage lead and both Houses admit an in-person visit as part of the offer package.,named_journey,prospective_spouse_or_house_representative,prospective spouse; responsible representative; guardian for a minor; companion/chaperone; negotiator,small_noble_retinue,actual_admitted_presence_at_departure_cutpoint,"accepted House, court, church, or neutral venue",pre-betrothal month selected by the marriage lifecycle,both counterparties and venue/host must accept,return,"offer lapses, host refuses, route fails, or superseding event occurs",Knowledge; courtship opportunity; hosting; correspondence; attributable ART evidence,True,True,False,requirements_and_readiness_only_no_journey_execution_no_person_movement_no_presence_mutation_no_route_promotion_no_lodging_admission_no_hosting_history_no_gl_or_resource_mutation_no_runtime_schema_ui_fixture_or_golden
